danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4
0.509,0.498,9,-10.122,1,0.454,0.109,0,0.112,0.422,95.489,"audio_features","0yE62JSC9J9C4Q4OBMwBgA","spotify:track:0yE62JSC9J9C4Q4OBMwBgA","https://api.spotify.com/v1/tracks/0yE62JSC9J9C4Q4OBMwBgA","https://api.spotify.com/v1/audio-analysis/0yE62JSC9J9C4Q4OBMwBgA",234667,3
0.353,0.384,2,-15.269,1,0.137,0.156,0.00000323,0.137,0.401,167.899,"audio_features","66v8ihTuXUDKqienUaFzIe","spotify:track:66v8ihTuXUDKqienUaFzIe","https://api.spotify.com/v1/tracks/66v8ihTuXUDKqienUaFzIe","https://api.spotify.com/v1/audio-analysis/66v8ihTuXUDKqienUaFzIe",165750,4
0.876,0.607,1,-7.324,1,0.077,0.317,0,0.217,0.468,129.934,"audio_features","6l4HJkk0CwELcf1CgrbAth","spotify:track:6l4HJkk0CwELcf1CgrbAth","https://api.spotify.com/v1/tracks/6l4HJkk0CwELcf1CgrbAth","https://api.spotify.com/v1/audio-analysis/6l4HJkk0CwELcf1CgrbAth",134818,4
0.554,0.67,1,-7.338,1,0.21,0.0144,0,0.108,0.396,119.556,"audio_features","68rPZWbtaNGUh15AVTSlNn","spotify:track:68rPZWbtaNGUh15AVTSlNn","https://api.spotify.com/v1/tracks/68rPZWbtaNGUh15AVTSlNn","https://api.spotify.com/v1/audio-analysis/68rPZWbtaNGUh15AVTSlNn",280515,4
0.592,0.872,8,-5.444,1,0.332,0.0181,0.00000113,0.156,0.504,169.522,"audio_features","6GJe7xXJVxmPZpMBVb7kOc","spotify:track:6GJe7xXJVxmPZpMBVb7kOc","https://api.spotify.com/v1/tracks/6GJe7xXJVxmPZpMBVb7kOc","https://api.spotify.com/v1/audio-analysis/6GJe7xXJVxmPZpMBVb7kOc",309600,4
0.867,0.708,0,-4.177,1,0.222,0.275,0,0.101,0.94,90.134,"audio_features","7zCCbHw6P80Wl9WMPU5pCs","spotify:track:7zCCbHw6P80Wl9WMPU5pCs","https://api.spotify.com/v1/tracks/7zCCbHw6P80Wl9WMPU5pCs","https://api.spotify.com/v1/audio-analysis/7zCCbHw6P80Wl9WMPU5pCs",197209,4
0.639,0.719,8,-6.805,1,0.0789,0.0569,0,0.334,0.358,110.042,"audio_features","7CMP4sUZqgiCAIa4kHw8zK","spotify:track:7CMP4sUZqgiCAIa4kHw8zK","https://api.spotify.com/v1/tracks/7CMP4sUZqgiCAIa4kHw8zK","https://api.spotify.com/v1/audio-analysis/7CMP4sUZqgiCAIa4kHw8zK",242955,4
0.796,0.697,1,-5.977,1,0.297,0.0552,0,0.27,0.676,155.032,"audio_features","0ZKtFePrrfmARdLavDXlFm","spotify:track:0ZKtFePrrfmARdLavDXlFm","https://api.spotify.com/v1/tracks/0ZKtFePrrfmARdLavDXlFm","https://api.spotify.com/v1/audio-analysis/0ZKtFePrrfmARdLavDXlFm",247710,4
0.539,0.681,8,-7.101,0,0.294,0.0133,0,0.13,0.41,85.143,"audio_features","3WO9GFkBwP2REOGwYIU54J","spotify:track:3WO9GFkBwP2REOGwYIU54J","https://api.spotify.com/v1/tracks/3WO9GFkBwP2REOGwYIU54J","https://api.spotify.com/v1/audio-analysis/3WO9GFkBwP2REOGwYIU54J",214716,5
